City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,teeli,92,RU,1537821093,100,51.01,90.2,36.99,2.71
88,huangmei,88,CN,1537821094,80,30.1,115.95,71.1,11.99
89,port hardy,75,CA,1537819200,77,50.7,-127.42,60.8,11.41
90,yellowknife,75,CA,1537819200,79,62.45,-114.38,37.4,9.17
91,patea,76,NZ,1537821094,98,-39.76,174.48,46.89,12.66
92,dikson,12,RU,1537821095,95,73.51,80.55,39.6,14.79
93,ust-karsk,0,RU,1537821095,82,52.71,118.82,31.95,2.37
94,faanui,0,PF,1537821095,100,-16.48,-151.75,78.12,16.13
95,bubaque,20,GW,1537819200,88,11.28,-15.83,78.8,3.36
96,fallon,90,US,1537820220,81,46.84,-105.12,50.0,10.29
97,karasjok,75,NO,1537818600,69,69.47,25.52,37.4,32.21
98,kosh-agach,92,RU,1537821096,100,49.99,88.66,33.3,3.6
99,cockburn town,12,TC,1537821096,95,21.46,-71.14,84.78,17.81
100,mahebourg,40,MU,1537819200,78,-20.41,57.7,73.4,6.93
101,dubbo,40,AU,1537819200,76,-32.25,148.6,50.0,13.87
102,kodiak,40,US,1537818780,56,39.95,-94.76,78.98,11.41
103,santo antonio do ica,36,BR,1537821097,74,-3.1,-67.94,84.24,4.5
104,tuatapere,92,NZ,1537821097,100,-46.13,167.69,43.02,18.48
105,robertsport,80,LR,1537821098,100,6.75,-11.37,78.39,7.4
106,joshimath,92,IN,1537821098,100,30.57,79.57,33.57,1.25
107,sao filipe,8,CV,1537821098,97,14.9,-24.5,77.04,11.54
108,leo,36,BF,1537821098,76,11.1,-2.1,77.94,3.83
109,tarakan,92,ID,1537821099,100,3.3,117.63,74.25,3.94
110,esperance,20,TT,1537819200,55,10.24,-61.45,89.6,9.17
111,buraydah,0,SA,1537819200,23,26.33,43.97,95.0,3.36
112,san jose,32,PH,1537821071,99,15.79,120.99,69.3,1.03
113,bredasdorp,68,ZA,1537819200,93,-34.53,20.04,57.2,2.24
114,thompson,75,CA,1537819200,45,55.74,-97.86,42.8,3.36
115,oropoli,40,HN,1537819200,42,13.82,-86.82,82.4,11.41
116,griffith,56,AU,1537821101,73,-34.29,146.06,50.4,8.63
117,rupert,1,US,1537818780,5,42.62,-113.68,64.04,19.46
118,constantine,0,DZ,1537819200,72,36.36,6.61,68.0,8.05
119,kovdor,92,RU,1537821102,92,67.56,30.47,39.42,8.08
120,biak,32,ID,1537821102,100,-0.91,122.88,75.51,6.06
121,bethel,90,US,1537818780,92,60.79,-161.76,48.92,13.87
122,bud,75,NO,1537818600,75,62.91,6.91,46.4,14.99
123,sitka,0,US,1537821104,49,37.17,-99.65,83.7,16.24
124,long beach,40,US,1537820040,63,30.35,-89.15,87.98,11.41
125,porto novo,20,BR,1537819200,57,-23.68,-45.44,80.6,17.22
126,lebu,40,ET,1537815600,50,8.96,38.73,57.2,2.24
127,hammerfest,75,NO,1537818600,60,70.66,23.68,41.0,44.96
